,n_eval,hv_value
0,100,0.2858513
1,200,0.0968526
2,300,0.0278898
3,400,0.2672901
4,500,0.2681823
5,600,0.2689834
6,700,0.2807768
7,800,0.2818737
8,900,0.2819011
9,1000,0.2819118
10,1100,0.2853107
11,1200,0.2853121
12,1300,0.291663
13,1400,0.2916694
14,1500,0.3082925
15,1600,0.3083845
16,1700,0.3084233
17,1800,0.3084275
18,1900,0.3084279
19,2000,0.3084532
20,2100,0.3090541
21,2200,0.3095401
22,2300,0.3095833
23,2400,0.3096681
24,2500,0.31086
25,2600,0.3114081
26,2700,0.3114152
27,2800,0.3116349
28,2900,0.3125616
29,3000,0.3125616
30,3100,0.3125616
31,3200,0.3125616
32,3300,0.3125862
33,3400,0.3126052
34,3500,0.3126806
35,3600,0.3126806
36,3700,0.3129106
37,3800,0.3129119
38,3900,0.3129817
39,4000,0.3129817
40,4100,0.3133084
41,4200,0.3133552
42,4300,0.3137175
43,4400,0.3139007
44,4500,0.3140147
45,4600,0.3149643
46,4700,0.3149643
47,4800,0.3151661
48,4900,0.3151695
49,5000,0.3151751
50,5100,0.315378
51,5200,0.315378
52,5300,0.3154324
53,5400,0.3154324
54,5500,0.3154324
55,5600,0.3154611
56,5700,0.3154649
57,5800,0.3154708
58,5900,0.315725
59,6000,0.3160682
60,6100,0.3160682
61,6200,0.3162401
62,6300,0.3162401
63,6400,0.3163353
64,6500,0.3170622
65,6600,0.3170622
66,6700,0.3170624
67,6800,0.3170624
68,6900,0.3170624
69,7000,0.3170624
70,7100,0.317064
71,7200,0.317064
72,7300,0.3171087
73,7400,0.3171087
74,7500,0.3171219
75,7600,0.3171237
76,7700,0.3171474
77,7800,0.3171493
78,7900,0.3171493
79,8000,0.3171493
80,8100,0.3171493
81,8200,0.3171506
82,8300,0.3171506
83,8400,0.3171756
84,8500,0.3171795
85,8600,0.3171944
86,8700,0.3172151
87,8800,0.3172356
88,8900,0.3172356
89,9000,0.3172595
90,9100,0.3172712
91,9200,0.3172782
92,9300,0.3172839
93,9400,0.3173034
94,9500,0.3173045
95,9600,0.3173045
96,9700,0.3173069
97,9800,0.3173482
98,9900,0.3173695
99,10000,0.3173976
100,10100,0.3173985
101,10200,0.3174055
102,10300,0.3174136
103,10400,0.3174247
104,10500,0.3174257
105,10600,0.31743
106,10700,0.3174354
107,10800,0.3174397
108,10900,0.3174552
109,11000,0.3174552
110,11100,0.3174626
111,11200,0.317469
112,11300,0.3174711
113,11400,0.3174745
114,11500,0.3174745
115,11600,0.3174747
116,11700,0.3174876
117,11800,0.3174896
118,11900,0.3174896
119,12000,0.3174933
120,12100,0.3175369
121,12200,0.3175424
122,12300,0.3175622
123,12400,0.3175938
124,12500,0.3175974
125,12600,0.3176389
126,12700,0.3176389
127,12800,0.3176406
128,12900,0.3176436
129,13000,0.3176468
130,13100,0.3176814
131,13200,0.3176949
132,13300,0.3176995
133,13400,0.3176999
134,13500,0.3177051
135,13600,0.3177735
136,13700,0.3177735
137,13800,0.3177745
138,13900,0.3184037
139,14000,0.318407
140,14100,0.318419
141,14200,0.3184323
142,14300,0.3184341
143,14400,0.3184397
144,14500,0.3184659
145,14600,0.3184694
146,14700,0.3184694
147,14800,0.3184699
148,14900,0.3184699
149,15000,0.3184722
150,15100,0.3184722
151,15200,0.3184722
152,15300,0.3184797
153,15400,0.3184905
154,15500,0.3184993
155,15600,0.3185038
156,15700,0.3185038
157,15800,0.3185038
158,15900,0.3185038
159,16000,0.3185039
160,16100,0.3185065
161,16200,0.3185154
162,16300,0.3185179
163,16400,0.3185204
164,16500,0.3185281
165,16600,0.3185281
166,16700,0.3185347
167,16800,0.3185376
168,16900,0.3185376
169,17000,0.3185758
170,17100,0.3185999
171,17200,0.3186005
172,17300,0.3186017
173,17400,0.3186034
174,17500,0.3186034
