Pmech_ann,Pmech_svr,Pmech_dtr,Pmech_rfr
0.0003088395048646406,3.193098493561009e-05,6.460528236707882e-05,2.1934173200961206e-05
6.653380529808721e-06,3.246748738818103e-05,5.920706069019277e-05,3.5820618248548364e-05
3.848396774265244e-05,6.269964233100845e-05,8.845699941932152e-05,5.036404449170982e-05
2.5020169965902888e-05,3.214586613892792e-05,5.888987033569658e-05,2.2736771208326208e-05
4.755109090488495e-05,3.149533617495526e-05,6.035940002707984e-05,2.461549075964627e-05
3.298094761469331e-05,3.311273043844082e-05,6.42691041752684e-05,2.219543886527877e-05
0.00010404809402457661,0.00010801820753783687,0.0001581646250727302,0.00012045401934059081
0.00010598444465170685,5.1305260107323576e-05,7.954178799306522e-05,4.268891406931581e-05
7.710430272816976e-05,3.108388279806396e-05,6.314955867270269e-05,2.2056624634736496e-05
5.80122625384487e-06,3.51246908372185e-05,8.873227270288378e-05,4.1695660420569977e-05
1.7529234043138522e-05,3.193098493561009e-05,6.434058428237197e-05,2.2466477808513903e-05
8.021563383059065e-06,3.246748738818103e-05,5.915969770224785e-05,2.7573475234198628e-05
5.2094773718907526e-05,6.269964233100845e-05,8.830249599975896e-05,5.106274825801384e-05
1.1083636351112086e-05,3.214586613892792e-05,5.900679327083771e-05,2.4804085309781725e-05
3.3794321337952383e-05,3.149533617495526e-05,5.957954577488068e-05,2.312657875107305e-05
1.1667903369995598e-05,3.311273043844082e-05,6.432672562618656e-05,2.3822745529013368e-05
9.301606072999553e-05,0.00010801820753783687,0.00015914920413902974,0.00011694076770472614
4.606911740495842e-05,5.1305260107323576e-05,7.988402698350874e-05,3.9687833818471864e-05
6.237300757645911e-06,3.108388279806396e-05,6.225822891650997e-05,2.0867545622858254e-05
0.0005313835319017098,3.51246908372185e-05,8.859822897020817e-05,3.896567096581251e-05
7.5811486335864135e-06,3.193098493561009e-05,6.514559204080612e-05,2.1899708424764212e-05
1.102651102432429e-05,3.246748738818103e-05,5.969686111862597e-05,3.107945054481462e-05
0.00014855941174963795,6.269964233100845e-05,8.785828408167539e-05,5.0465485034965295e-05
3.77654299628989e-05,3.214586613892792e-05,5.903073953342898e-05,2.4325497447703162e-05
9.967626938235262e-06,3.149533617495526e-05,5.9662349007124774e-05,2.5094934296428123e-05
2.226727110126363e-05,3.311273043844082e-05,6.393644061144454e-05,2.457896371749515e-05
9.258269516211993e-05,0.00010801820753783687,0.00015941770040051056,0.00011784352247019018
5.30634381048818e-05,5.1305260107323576e-05,7.797898782379751e-05,4.401347047312697e-05
0.0016500386723852154,3.108388279806396e-05,6.307414863211341e-05,2.038485022868508e-05
0.0021483112749204262,3.51246908372185e-05,0.0001164719680723765,3.899581936291261e-05
1.2986429995338668e-05,3.193098493561009e-05,6.496457733765312e-05,2.3625408731524587e-05
7.388682679076273e-05,3.246748738818103e-05,5.97905122452347e-05,2.4038953390615582e-05
0.00028876465823717234,6.269964233100845e-05,8.750383461686113e-05,5.161011494391218e-05
5.261375774514534e-05,3.214586613892792e-05,5.912051814270067e-05,2.2533829997666173e-05
8.58115902622295e-06,3.149533617495526e-05,5.993086457674659e-05,2.407649253837554e-05
9.465629957690245e-06,3.311273043844082e-05,6.466068640707333e-05,2.3959894103147648e-05
9.579506563463766e-05,0.00010801820753783687,0.00015917030773192264,0.00011490243210957736
8.404356594467388e-05,5.1305260107323576e-05,7.816053765492472e-05,4.198700279285771e-05
5.22209402492275e-06,3.108388279806396e-05,6.297798992413015e-05,2.0895293692363478e-05
0.00019370021369664203,3.51246908372185e-05,8.918200009771832e-05,3.7682692626325274e-05
1.158582056062118e-05,3.193098493561009e-05,6.455084299198085e-05,2.1799787949942655e-05
8.516438363257561e-06,3.246748738818103e-05,5.9086667011331926e-05,2.4532971571842433e-05
5.087666318839397e-05,6.269964233100845e-05,8.804995809339622e-05,5.2793154216492184e-05
6.774876661039303e-06,3.214586613892792e-05,5.881079409522913e-05,2.366657807286518e-05
1.968481420885576e-05,3.149533617495526e-05,6.083091265391988e-05,2.4246449828599267e-05
0.00021085795661778973,3.311273043844082e-05,6.425070273518533e-05,2.3322204501319658e-05
0.00024390179514546722,0.00010801820753783687,0.0001587559904714124,0.0001161764380806403
4.15920735528237e-05,5.1305260107323576e-05,7.90638754249816e-05,4.61370266558255e-05
1.9437291549016436e-05,3.108388279806396e-05,6.212634264395269e-05,2.052285668310633e-05
9.344538423905273e-06,3.51246908372185e-05,8.960856720200153e-05,4.10797499788837e-05
2.7562779669360796e-05,3.193098493561009e-05,6.448005817064057e-05,2.3650013482213463e-05
0.00011170992409360292,3.246748738818103e-05,5.896250614161695e-05,2.2505270761131488e-05
4.1643876343113576e-05,6.269964233100845e-05,8.805472471153965e-05,4.9819432582186724e-05
5.691755065578843e-06,3.214586613892792e-05,5.9604243415446464e-05,2.398997485533444e-05
4.827156629831051e-06,3.149533617495526e-05,6.0238240424312574e-05,2.4349034356828258e-05
1.0816045557249392e-05,3.311273043844082e-05,6.375697578921805e-05,2.4542125716334186e-05
9.1887849030992e-05,0.00010801820753783687,0.00015962468407325226,0.00011749667343256975
8.9898415001421e-05,5.1305260107323576e-05,7.871770935892064e-05,4.1673907469231106e-05
7.908520289144709e-06,3.108388279806396e-05,6.146674878150164e-05,2.1531416048009962e-05
2.9570845083511317e-05,3.51246908372185e-05,0.00011506120954219517,4.0046812412286454e-05
3.3070968449259114e-05,3.193098493561009e-05,6.452565216923909e-05,2.3819742571955284e-05
6.7829110357425745e-06,3.246748738818103e-05,5.9159000311588605e-05,2.300172340713663e-05
5.667991188661143e-05,6.269964233100845e-05,8.791539585220545e-05,5.1270098839698174e-05
0.00011088373547566506,3.214586613892792e-05,5.836869812422974e-05,2.2546768954233923e-05
7.801677228645684e-05,3.149533617495526e-05,5.942526883512839e-05,2.748660389759438e-05
8.914146782669388e-06,3.311273043844082e-05,6.412857224843663e-05,2.4939471632760823e-05
0.00020056349429547037,0.00010801820753783687,0.00015912745380412122,0.00011749031781872037
2.7756434112655833e-05,5.1305260107323576e-05,7.948671389800848e-05,4.221145879852052e-05
2.2787029645878106e-05,3.108388279806396e-05,6.308173680328601e-05,2.0138698148447917e-05
1.13665855626048e-05,3.51246908372185e-05,8.942481936648241e-05,4.005072222336963e-05
0.00013558507613554163,3.193098493561009e-05,6.450883757315298e-05,2.2565725930612265e-05
2.2019275659760064e-05,3.246748738818103e-05,5.8347050293278706e-05,2.1446828316215464e-05
6.505641248258651e-05,6.269964233100845e-05,8.858347203371346e-05,5.084000069981515e-05
0.00013989086160226267,3.214586613892792e-05,6.030088119279741e-05,2.2610666069825375e-05
0.0001760877258262114,3.149533617495526e-05,5.997172558336623e-05,2.226413597511969e-05
9.0140020314966e-06,3.311273043844082e-05,6.500173984193446e-05,2.2962712375651027e-05
9.85860356297865e-05,0.00010801820753783687,0.0001584954776921206,0.00011979690661610404
2.7922391013071837e-05,5.1305260107323576e-05,8.003609618602977e-05,4.114847735815404e-05
1.7696553437910962e-05,3.108388279806396e-05,6.239275851042016e-05,2.1607418074077956e-05
1.0056981487934649e-05,3.51246908372185e-05,8.891585616531526e-05,3.8638939107176746e-05
3.7498684044140144e-05,3.193098493561009e-05,6.426221174900321e-05,2.26854652697911e-05
0.00042300106974760136,3.246748738818103e-05,5.9301046819956014e-05,2.248923839304494e-05
4.4567837216205754e-05,6.269964233100845e-05,8.831350902720956e-05,5.1047294258624846e-05
1.8575286402316018e-05,3.214586613892792e-05,5.982974707213649e-05,2.2216710169983667e-05
1.2051090675916974e-05,3.149533617495526e-05,6.0255623062788725e-05,2.214337099649833e-05
1.0047592458807563e-05,3.311273043844082e-05,6.44482733032234e-05,2.5072598803112658e-05
